date,product_id,price,units_sold
2023-01-01,P001,50,20
2023-01-02,P002,60,15
2023-01-03,P001,50,18
2023-01-04,P003,70,30
2023-01-05,P001,50,25
2023-01-06,P002,60,22
2023-01-07,P003,70,24
2023-01-08,P001,50,28
2023-01-09,P002,60,17
2023-01-10,P003,70,29
2023-02-11,P001,50,23
2023-02-12,P002,60,19
2023-02-13,P001,50,21
2023-02-14,P003,70,31
2023-03-15,P001,50,26
2023-03-16,P002,60,20
2023-03-17,P003,70,33
2023-04-18,P001,50,27
2023-04-19,P002,60,18
2023-04-20,P003,70,32
2023-04-21,P001,50,22
2023-04-22,P002,60,16
2023-04-23,P003,70,34
2023-05-24,P001,50,24
2023-05-25,P002,60,21
